Rank,Name,Name Link,Symbol,Industry,2022 Revenue (USD millions),Revenue Growth,Employees,Headquarters City,Headquarters Link,Headquarters Geo Loc
40,Humana,https://en.wikipedia.org/wiki/Humana,HUM,Healthcare,"83,064", 7.7%,"95,500","Louisville, Kentucky","https://en.wikipedia.org/wiki/Louisville,_Kentucky","38.328732, -85.764771"
41,Wells Fargo,https://en.wikipedia.org/wiki/Wells_Fargo,WFC,Financial,"82,407", 2.6%,"247,848","San Francisco, California",https://en.wikipedia.org/wiki/San_Francisco,"37.7775, -122.416389"
42,State Farm,https://en.wikipedia.org/wiki/State_Farm,STFGX,Financial,"82,407", 4.2%,"53,586","Bloomington, Illinois","https://en.wikipedia.org/wiki/Bloomington,_Illinois","40.484167, -88.993611"
43,Pfizer,https://en.wikipedia.org/wiki/Pfizer,PFE,Pharmaceuticals,"81,288", 94.0%,"79,000","New York City, New York",https://en.wikipedia.org/wiki/New_York_City,"40.712778, -74.006111	"
44,Citigroup,https://en.wikipedia.org/wiki/Citigroup,C,Financial,"79,865", -10.1%,"221,768","New York City, New York",https://en.wikipedia.org/wiki/New_York_City,"40.712778, -74.006111	"
45,PepsiCo,https://en.wikipedia.org/wiki/PepsiCo,PEP,Beverages,"79,474", 12.9%,"309,000","Purchase, New York","https://en.wikipedia.org/wiki/Purchase,_New_York","41.040556, -73.714444"
46,Intel,https://en.wikipedia.org/wiki/Intel,INTC,Technology,"79,024", 1.5%,"121,100","Santa Clara, California","https://en.wikipedia.org/wiki/Santa_Clara,_California","37.354444, -121.969167"
47,Procter & Gamble,https://en.wikipedia.org/wiki/Procter_%26_Gamble,PG,Conglomerate,"76,118", 7.3%,"101,000","Cincinnati, Ohio",https://en.wikipedia.org/wiki/Cincinnati,"39.1031182, -84.5120196"
48,General Electric,https://en.wikipedia.org/wiki/General_Electric,GE,Conglomerate,"74,196", -6.8%,"168,000","Boston, Massachusetts",https://en.wikipedia.org/wiki/Boston,"42.360278, -71.057778"
49,International Business Machines,https://en.wikipedia.org/wiki/IBM,IBM,Technology,"72,344", -1.7%,"297,800","Armonk, New York","https://en.wikipedia.org/wiki/Armonk,_New_York","41.128611, -73.707778"
50,MetLife,https://en.wikipedia.org/wiki/MetLife,MET,Financial,"71,080", 4.8%,"43,000","New York City, New York",https://en.wikipedia.org/wiki/New_York_City,"40.712778, -74.006111	"
51,Prudential Financial,https://en.wikipedia.org/wiki/Prudential_Financial,PRU,Financial,"70,934", 24.4%,"40,916","Newark, New Jersey","https://en.wikipedia.org/wiki/Newark,_New_Jersey","40.72422, -74.172574"
52,Albertsons,https://en.wikipedia.org/wiki/Albertsons,ACI,Retail,"69,690", 11.6%,"300,000","Boise, Idaho","https://en.wikipedia.org/wiki/Boise,_Idaho","43.615833, -116.201667"
